epoch,acc,loss,lr,val_acc,val_loss
0,0.80894737478933831,0.5898075376686297,1e-25,0.82000001668930056,0.56295517981052401
1,0.80894737384821236,0.58980753751177539,1e-25,0.82000001668930056,0.56295517981052401
2,0.80894737322079513,0.58980753860975565,1e-25,0.82000001668930056,0.56295517981052401
3,0.80894737604417299,0.58980754033515326,1e-25,0.82000001668930056,0.56295517981052401
4,0.8089473727502321,0.58980753813919273,1e-25,0.82000001668930056,0.56295517981052401
5,0.80894737400506667,0.58980754143313363,1e-25,0.82000001668930056,0.56295517981052401
6,0.80894737463248401,0.58980753782548401,1e-25,0.82000001668930056,0.56295517981052401
7,0.80894737243652348,0.58980754002144464,1e-25,0.82000001668930056,0.56295517981052401
8,0.8089473744756297,0.5898075393940273,1e-25,0.82000001668930056,0.56295517981052401
9,0.80894737439720255,0.58980753735492109,1e-25,0.82000001668930056,0.56295517981052401
10,0.80894737384821236,0.58980753986459034,1e-25,0.82000001668930056,0.56295517981052401
11,0.80894737369135805,0.58980753751177539,1e-25,0.82000001668930056,0.56295517981052401
12,0.80894737651473603,0.5898075376686297,1e-25,0.82000001668930056,0.56295517981052401
13,0.80894737463248401,0.58980753955088161,1e-25,0.82000001668930056,0.56295517981052401
14,0.80894737243652348,0.58980753672750375,1e-25,0.82000001668930056,0.56295517981052401
15,0.80894737573046438,0.589807539237173,1e-25,0.82000001668930056,0.56295517981052401
16,0.8089473744756297,0.5898075393940273,1e-25,0.82000001668930056,0.56295517981052401
17,0.8089473729070864,0.58980754190369655,1e-25,0.82000001668930056,0.56295517981052401
18,0.80894737635788161,0.58980753845290135,1e-25,0.82000001668930056,0.56295517981052401
19,0.80894737431877539,0.58980754002144464,1e-25,0.82000001668930056,0.56295517981052401
