epoch,acc,loss,lr,val_acc,val_loss
0,0.86578854209498357,0.3548693770170212,0.001,0.90934814453125001,0.24478762596845627
1,0.92664788497121708,0.20101278152120741,0.001,0.94462829589843755,0.15197415322065352
2,0.93782364694695719,0.16786688402295113,0.001,0.92228637695312499,0.20793037772178649
3,0.93941264905427635,0.16236923039743775,0.001,0.9460296630859375,0.14020126372575759
4,0.94669870476973683,0.14071152680014309,0.001,0.94513854980468748,0.14727081835269928
5,0.94483783922697373,0.14821687110160525,0.001,0.94833557128906254,0.13103907018899918
6,0.95027514005962166,0.13182738832149066,0.001,0.94279418945312499,0.15586291432380675
7,0.94888122558593746,0.13349633112549783,0.001,0.95213867187500001,0.12023256950080395
8,0.9531390702097039,0.12214776713989282,0.001,0.95620056152343746,0.110838722884655
9,0.95474689684416114,0.11688477445982004,0.001,0.947840576171875,0.1483907288312912
10,0.95664271304481907,0.11186708391104874,0.001,0.95590454101562505,0.10839259870350361
11,0.95702058490953945,0.11077091059402415,0.001,0.95280090332031253,0.1173277486115694
12,0.95333537854646377,0.12145787754733312,0.001,0.95522460937499998,0.11327820166945457
13,0.95564414576480261,0.11463099006759493,0.001,0.95923645019531245,0.10251017250120639
14,0.95933648360402957,0.10273117267771771,0.001,0.95877197265625003,0.11276461988687515
15,0.95908453690378292,0.10268202155044204,0.001,0.95599731445312497,0.11052380070090294
16,0.96131495425575653,0.098227056735440299,0.001,0.95934753417968754,0.1060125955939293
17,0.96257773951480263,0.093495586973271871,0.001,0.96192138671875005,0.10084272772073746
18,0.96135973478618419,0.098303461437554737,0.001,0.95911499023437496,0.10540370918810367
19,0.96144894248560853,0.097678538941239054,0.001,0.96123107910156247,0.09980043545365333
20,0.96471374511718755,0.087458684420899338,0.001,0.9572296142578125,0.1131821720302105
21,0.96560649671052634,0.085437213358910455,0.001,0.95836547851562504,0.10823702603578568
22,0.96367193924753292,0.090306197757783688,0.001,0.95791076660156249,0.11654275454580784
23,0.96641460217927633,0.084699524033226462,0.001,0.96276550292968754,0.10320575527846813
24,0.96768493652343746,0.079061344185549956,0.001,0.95906921386718746,0.11649457730352879
